Trade Date,MASI,DSI,FSI 
2017-09-19,19985.82,15730.14,2425.75
2017-09-18,19985.82,15730.14,2425.75
2017-09-15,19948.97,15700.84,2425.75
2017-09-14,19819.44,15597.86,2425.75
2017-09-13,19819.44,15597.86,2425.75
2017-09-12,19978.09,15724.00,2425.75
2017-09-11,19969.21,15716.94,2425.75
2017-09-08,19955.52,15706.05,2425.75
2017-09-07,19953.86,15704.74,2425.75
2017-09-06,19907.81,15668.12,2425.75
2017-09-05,19852.90,15624.46,2425.75
2017-09-04,19850.30,15622.39,2425.75
2017-09-01,20127.25,15842.59,2425.75
2017-08-31,20049.44,15780.73,2425.75
2017-08-30,20049.44,15780.73,2425.75
2017-08-29,19748.48,15541.44,2425.75
2017-08-28,19484.02,15331.17,2425.75
2017-08-25,19484.02,15331.17,2425.75
2017-08-24,19352.18,15232.99,2325.21
2017-08-23,19103.59,15035.34,2325.21
2017-08-22,18852.63,14835.81,2325.21
2017-08-21,18602.91,14637.26,2325.21
2017-08-18,18602.91,14637.26,2325.21
2017-08-17,18570.50,14611.49,2325.21
2017-08-16,18324.68,14416.04,2325.21
2017-08-15,18308.76,14403.39,2325.21
2017-08-14,18104.18,14240.72,2325.21
2017-08-11,18101.06,14238.24,2325.21
2017-08-10,17405.93,13685.55,2325.21
2017-08-09,17247.70,13559.75,2325.21
2017-08-08,17247.70,13559.75,2325.21
2017-08-07,17247.70,13559.75,2325.21
2017-08-04,17067.33,13416.34,2325.21
2017-08-03,17025.29,13382.92,2325.21
2017-08-02,16998.71,13361.78,2325.21
2017-08-01,16877.16,13265.14,2325.21
2017-07-31,16877.16,13265.14,2325.21
2017-07-28,17009.98,13370.74,2325.21
2017-07-27,16935.55,13311.56,2325.21
2017-07-26,16781.97,13189.45,2325.21
2017-07-25,16713.49,13135.00,2325.21
2017-07-24,16693.07,13118.77,2325.21
2017-07-21,16693.07,13118.77,2325.21
2017-07-20,16641.11,13077.41,2325.21
2017-07-19,16400.29,12885.99,2325.21
2017-07-18,16339.82,12837.90,2325.21
2017-07-17,16263.82,12777.48,2325.21
2017-07-14,16245.61,12763.00,2325.21
2017-07-13,16245.61,12763.00,2325.21
2017-07-12,16228.05,12749.04,2325.21
